text@avl1986m	@avl1986m	245.57	258.26	он после этого решил просто нарожать детей чтобы они точно себя / ну / друг друга не подвели как бы сделать такую компанию / грубо говоря // которая // друг... эээ ну / не подведет точно // ну / у него это получилось / потому что мы конечно дружные нереально //
text@avl1986m	@avl1986m	267.53	267.69	нет //
text@avl1986m	@avl1986m	269.19	269.32	нет //
text@avl1986m	@avl1986m	271.93	279.07	я / нет / я понимаю / мне #нрзб# // люди очень сильно удивляются тому как вообще все происходит / у нас как-то была / у нас там появилась лишняя квартира //
text@avl1986m	@avl1986m	279.9	283.12	и там / а это такой уже вопрос / серьезный / когда надо делить че-то и вообще //
text@avl1986m	@avl1986m	283.44	289.32	и мы настолько это все / как бы / легко сделали / что все удивлялись / "как это вы так не бьетесь там не ссоритесь ничего там че кому че" //
text@avl1986m	@avl1986m	289.79	290.89	#нрзб#
text@avl1986m	@avl1986m	292.12	295.53	не / у нас очень доверительный / теплый // классные отношения //
text@avl1986m	@avl1986m	296.34	296.63	до сих пор //
text@avl1986m	@avl1986m	298.59	299.61	да // да / все в России //
text@avl1986m	@avl1986m	301.79	304.15	да // да / нет / одинаковой нету / точно //
text@avl1986m	@avl1986m	304.635	310.05	пакикмахер / сестра // брат бьет татушки // который снимает / он еще и оператор у нас // фотограф есть //
text@avl1986m	@avl1986m	311.397	311.797	повар //
text@avl1986m	@avl1986m	314.0	315.42	постановщик теперь у нас есть Слава //
text@avl1986m	@avl1986m	316.025	323.57	брат реставрирует ретр... ретро-тачки / ну короче по автомобилям / у него там где-то в Питере салон ооо / ну да / автосалон // автосервис  //
text@avl1986m	@avl1986m	325.04	331.23	вот // другой брат занимается деревом / ну типа / мебелью все все / ну всяким таким / ну то есть они все по разному там / каждый с... своим делом // 
text@yad1986m	@yad1986m	0.38	4.67	давай / просто расскажи / как живет семья / где шестнадцать / детей //
text@yad1986m	@yad1986m	5.75	8.42	где вы / где вы / для начала / эээ / жили или живете?
text@yad1986m	@yad1986m	12.48	12.65	так //
text@yad1986m	@yad1986m	35.437	36.077	все хотели есть //
text@yad1986m	@yad1986m	44.896	46.48	а этаж / это / это сколько квартир?
text@yad1986m	@yad1986m	47.551	47.831	ааа //
text@yad1986m	@yad1986m	51.495	53.21	то есть вы огородили дверью тамбурной / да?
text@yad1986m	@yad1986m	60.591	61.711	охренеть ! #смеется#
text@yad1986m	@yad1986m	63.78	75.25	смотри / эээ / в / эээ // местной прессе // про вас писали // ну поскольку вы заметная семья была / и // в общем / интернет помнит заметки про вас / и в том числе про то / что жилось тяжело //
text@yad1986m	@yad1986m	76.07	78.71	ну про то что там лаве не хватало и все / такое //
text@yad1986m	@yad1986m	79.12	79.95	ааа / тяжело ?
text@yad1986m	@yad1986m	111.495	112.475	или буду думать как крыса //
text@yad1986m	@yad1986m	114.82	118.76	а / есть какие-то лайфхаки когда живешь вот в эээ / в таком / эээ составе ?
text@yad1986m	@yad1986m	119.57	120.92	то есть какие-то традиции ?
text@yad1986m	@yad1986m	122.635	124.59	как одежда кочевала от одного к другому ?
text@yad1986m	@yad1986m	129.51	129.6	как ?
text@yad1986m	@yad1986m	143.015	143.52	фирмовые //
text@yad1986m	@yad1986m	179.165	180.295	а почему ты болел за Торпедо ?
text@yad1986m	@yad1986m	182.45	183.14	а / только из-за этого //
text@yad1986m	@yad1986m	183.48	187.33	не потому что ты увидел там на поле Сергея Кормильцева и подумал что это / русский Зидан //
text@yad1986m	@yad1986m	192.515	192.885	ммм //
text@yad1986m	@yad1986m	193.865	198.33	ты когда-нибудь разговаривал с отцом / о том почему так много братьев и сестер ?
text@yad1986m	@yad1986m	198.872	199.512	ведь это //
text@yad1986m	@yad1986m	200.52	202.25	чудовищная нагрузка для женщины //
text@yad1986m	@yad1986m	213.42	213.76	угу //
text@yad1986m	@yad1986m	217.745	218.115	с мамой ?
text@yad1986m	@yad1986m	259.78	266.99	иии / среди этих шестнадцати человек нет того / кто когда-нибудь шел против семьи / был готов там подвести ?
text@yad1986m	@yad1986m	269.88	271.65	но ты же понимаешь что не всегда так внутри семьи бывает ?
text@yad1986m	@yad1986m	297.5	298.21	все в России живут ?
text@yad1986m	@yad1986m	299.965	301.065	все разными работами занимаются ?
words@avl1986m	@avl1986m	8.82	9.02	сначала
words@avl1986m	@avl1986m	9.02	9.22	мы
words@avl1986m	@avl1986m	9.22	9.42	жили
words@avl1986m	@avl1986m	9.42	9.62	в
words@avl1986m	@avl1986m	9.62	9.82	одном
words@avl1986m	@avl1986m	9.82	10.02	районе
words@avl1986m	@avl1986m	10.02	10.22	/
words@avl1986m	@avl1986m	10.22	10.42	где
words@avl1986m	@avl1986m	10.42	10.62	было
words@avl1986m	@avl1986m	10.62	10.82	у
words@avl1986m	@avl1986m	10.82	11.02	нас
words@avl1986m	@avl1986m	11.02	11.22	/
words@avl1986m	@avl1986m	11.22	11.42	пятикомнатная
words@avl1986m	@avl1986m	11.42	11.62	квартира
words@avl1986m	@avl1986m	11.62	11.82	//
words@avl1986m	@avl1986m	13.06	13.201	вот
words@avl1986m	@avl1986m	13.201	13.342	/
words@avl1986m	@avl1986m	13.342	13.483	нет
words@avl1986m	@avl1986m	13.483	13.624	/
words@avl1986m	@avl1986m	13.624	13.765	до
words@avl1986m	@avl1986m	13.765	13.906	меня
words@avl1986m	@avl1986m	13.906	14.047	еще
words@avl1986m	@avl1986m	14.047	14.188	когда
words@avl1986m	@avl1986m	14.188	14.329	меня
words@avl1986m	@avl1986m	14.329	14.47	еще
words@avl1986m	@avl1986m	14.47	14.611	не
words@avl1986m	@avl1986m	14.611	14.752	было
words@avl1986m	@avl1986m	14.752	14.893	там
words@avl1986m	@avl1986m	14.893	15.034	еще
words@avl1986m	@avl1986m	15.034	15.175	какой-то
words@avl1986m	@avl1986m	15.175	15.316	был
words@avl1986m	@avl1986m	15.316	15.457	район
words@avl1986m	@avl1986m	15.457	15.6	//
words@avl1986m	@avl1986m	15.745	15.894	по-моему
words@avl1986m	@avl1986m	15.894	16.043	десятый
words@avl1986m	@avl1986m	16.043	16.192	что
words@avl1986m	@avl1986m	16.192	16.341	ли
words@avl1986m	@avl1986m	16.341	16.49	//
words@avl1986m	@avl1986m	16.49	16.639	там
words@avl1986m	@avl1986m	16.639	16.788	же
words@avl1986m	@avl1986m	16.788	16.937	в
words@avl1986m	@avl1986m	16.937	17.086	зеленограде
words@avl1986m	@avl1986m	17.086	17.235	районы
words@avl1986m	@avl1986m	17.235	17.39	//
words@avl1986m	@avl1986m	17.582	17.777	в
words@avl1986m	@avl1986m	17.777	17.972	десятом
words@avl1986m	@avl1986m	17.972	18.167	//
words@avl1986m	@avl1986m	18.167	18.362	потом
words@avl1986m	@avl1986m	18.362	18.557	вот
words@avl1986m	@avl1986m	18.557	18.752	в
words@avl1986m	@avl1986m	18.752	18.947	а
words@avl1986m	@avl1986m	18.947	19.142	двенадцатом
words@avl1986m	@avl1986m	19.142	19.337	/
words@avl1986m	@avl1986m	19.337	19.532	где
words@avl1986m	@avl1986m	19.532	19.727	я
words@avl1986m	@avl1986m	19.727	19.922	жил
words@avl1986m	@avl1986m	19.922	20.117	/
words@avl1986m	@avl1986m	20.117	20.312	это
words@avl1986m	@avl1986m	20.312	20.507	была
words@avl1986m	@avl1986m	20.507	20.702	пятикомнатная
words@avl1986m	@avl1986m	20.702	20.897	квартира
words@avl1986m	@avl1986m	20.897	21.092	/
words@avl1986m	@avl1986m	21.092	21.287	уже
words@avl1986m	@avl1986m	21.287	21.482	было
words@avl1986m	@avl1986m	21.482	21.677	так
words@avl1986m	@avl1986m	21.677	21.872	там
words@avl1986m	@avl1986m	21.872	22.067	тесновато
words@avl1986m	@avl1986m	22.067	22.27	//
words@avl1986m	@avl1986m	22.921	23.143	потом
words@avl1986m	@avl1986m	23.143	23.365	нам
words@avl1986m	@avl1986m	23.365	23.587	дали
words@avl1986m	@avl1986m	23.587	23.809	в
words@avl1986m	@avl1986m	23.809	24.031	другом
words@avl1986m	@avl1986m	24.031	24.253	районе
words@avl1986m	@avl1986m	24.253	24.475	этаж
words@avl1986m	@avl1986m	24.475	24.697	целый
words@avl1986m	@avl1986m	24.697	24.92	//
words@avl1986m	@avl1986m	25.501	25.68	но
words@avl1986m	@avl1986m	25.68	25.859	там
words@avl1986m	@avl1986m	25.859	26.038	было
words@avl1986m	@avl1986m	26.038	26.217	самое
words@avl1986m	@avl1986m	26.217	26.396	интересное
words@avl1986m	@avl1986m	26.396	26.575	/
words@avl1986m	@avl1986m	26.575	26.754	потому
words@avl1986m	@avl1986m	26.754	26.933	что
words@avl1986m	@avl1986m	26.933	27.112	это
words@avl1986m	@avl1986m	27.112	27.291	был
words@avl1986m	@avl1986m	27.291	27.47	период
words@avl1986m	@avl1986m	27.47	27.649	/
words@avl1986m	@avl1986m	27.649	27.828	девяностых
words@avl1986m	@avl1986m	27.828	28.007	/
words@avl1986m	@avl1986m	28.007	28.186	когда
words@avl1986m	@avl1986m	28.186	28.365	у
words@avl1986m	@avl1986m	28.365	28.544	нас
words@avl1986m	@avl1986m	28.544	28.723	были
words@avl1986m	@avl1986m	28.723	28.902	все
words@avl1986m	@avl1986m	28.902	29.081	мелкие
words@avl1986m	@avl1986m	29.081	29.27	//
words@avl1986m	@avl1986m	29.555	29.779	то
words@avl1986m	@avl1986m	29.779	30.003	есть
words@avl1986m	@avl1986m	30.003	30.227	старшие
words@avl1986m	@avl1986m	30.227	30.451	еще
words@avl1986m	@avl1986m	30.451	30.675	не
words@avl1986m	@avl1986m	30.675	30.899	зарабатывали
words@avl1986m	@avl1986m	30.899	31.123	/
words@avl1986m	@avl1986m	31.123	31.347	а
words@avl1986m	@avl1986m	31.347	31.571	мелкие
words@avl1986m	@avl1986m	31.571	31.795	были
words@avl1986m	@avl1986m	31.795	32.019	совсем
words@avl1986m	@avl1986m	32.019	32.25	мелкими
words@avl1986m	@avl1986m	32.812	33.016	то
words@avl1986m	@avl1986m	33.016	33.22	есть
words@avl1986m	@avl1986m	33.22	33.424	нас
words@avl1986m	@avl1986m	33.424	33.628	было
words@avl1986m	@avl1986m	33.628	33.832	много
words@avl1986m	@avl1986m	33.832	34.036	/
words@avl1986m	@avl1986m	34.036	34.24	и
words@avl1986m	@avl1986m	34.24	34.444	вс...
words@avl1986m	@avl1986m	34.444	34.648	и
words@avl1986m	@avl1986m	34.648	34.852	типа
words@avl1986m	@avl1986m	34.852	35.056	все
words@avl1986m	@avl1986m	35.056	35.26	как
words@avl1986m	@avl1986m	35.26	35.464	бы
words@avl1986m	@avl1986m	35.464	35.668	всех
words@avl1986m	@avl1986m	35.668	35.872	надо
words@avl1986m	@avl1986m	35.872	36.082	//
words@avl1986m	@avl1986m	36.347	36.483	все
words@avl1986m	@avl1986m	36.483	36.619	хотели
words@avl1986m	@avl1986m	36.619	36.755	есть
words@avl1986m	@avl1986m	36.755	36.891	/
words@avl1986m	@avl1986m	36.891	37.027	да
words@avl1986m	@avl1986m	37.027	37.163	/
words@avl1986m	@avl1986m	37.163	37.299	как
words@avl1986m	@avl1986m	37.299	37.435	минимум
words@avl1986m	@avl1986m	37.435	37.577	//
words@avl1986m	@avl1986m	38.497	38.661	вот
words@avl1986m	@avl1986m	38.661	38.825	/
words@avl1986m	@avl1986m	38.825	38.989	а
words@avl1986m	@avl1986m	38.989	39.153	потом
words@avl1986m	@avl1986m	39.153	39.317	дали
words@avl1986m	@avl1986m	39.317	39.481	еще
words@avl1986m	@avl1986m	39.481	39.645	один
words@avl1986m	@avl1986m	39.645	39.809	этаж
words@avl1986m	@avl1986m	39.809	39.973	/
words@avl1986m	@avl1986m	39.973	40.137	другой
words@avl1986m	@avl1986m	40.137	40.307	//
words@avl1986m	@avl1986m	40.872	41.102	и
words@avl1986m	@avl1986m	41.102	41.332	как-то
words@avl1986m	@avl1986m	41.332	41.562	все
words@avl1986m	@avl1986m	41.562	41.792	потихонечку
words@avl1986m	@avl1986m	41.792	42.022	/
words@avl1986m	@avl1986m	42.022	42.252	эээ
words@avl1986m	@avl1986m	42.252	42.482	/
words@avl1986m	@avl1986m	42.482	42.712	расф
words@avl1986m	@avl1986m	42.712	42.942	/
words@avl1986m	@avl1986m	42.942	43.172	сейчас
words@avl1986m	@avl1986m	43.172	43.402	уже
words@avl1986m	@avl1986m	43.402	43.632	взросленькие
words@avl1986m	@avl1986m	43.632	43.862	все
words@avl1986m	@avl1986m	43.862	44.092	/
words@avl1986m	@avl1986m	44.092	44.322	че
words@avl1986m	@avl1986m	44.322	44.56	//
words@avl1986m	@avl1986m	46.331	46.466	это
words@avl1986m	@avl1986m	46.466	46.601	четыре
words@avl1986m	@avl1986m	46.601	46.736	квартиры
words@avl1986m	@avl1986m	46.736	46.871	//
words@avl1986m	@avl1986m	47.981	48.127	ну
words@avl1986m	@avl1986m	48.127	48.273	и
